index,name,approach,human audit result (Jeff),human audit notes (Jeff),human audit result (Anita),human audit notes (Anita)
241,junah201@atcoder-readme-stats__c41ed032__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
242,junah201@atcoder-readme-stats__c41ed032__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
243,jundymek@free-proxy__6e391030__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
244,jundymek@free-proxy__6e391030__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
245,jundymek@free-proxy__6e391030__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
246,jundymek@free-proxy__6e391030__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
247,jundymek@free-proxy__6e391030__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
248,jundymek@free-proxy__6e391030__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
249,kavigupta@ast_scope__86e079f1__attrs__cattrs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
250,kmiq@coinbase-advanced-python__660f2f07__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
251,kmiq@coinbase-advanced-python__660f2f07__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
252,kmiq@coinbase-advanced-python__660f2f07__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
253,kmiq@coinbase-advanced-python__660f2f07__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
254,kmiq@coinbase-advanced-python__660f2f07__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
255,kmiq@coinbase-advanced-python__660f2f07__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
256,kmjennison@dfp-prebid-setup__280eba17__colorama__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
257,kmjennison@dfp-prebid-setup__280eba17__colorama__termcolor,"Agentic-RepoFlow full iterative, 5-cycle",,,,
258,knovichikhin@psec__7c71610b__cryptography__pycryptodome,"Agentic-RepoFlow full iterative, 5-cycle",,,,
259,lamoreauxlab@srpenergy-api-client-python__693bafd8__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
260,lamoreauxlab@srpenergy-api-client-python__693bafd8__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
261,lamoreauxlab@srpenergy-api-client-python__693bafd8__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
262,lamoreauxlab@srpenergy-api-client-python__693bafd8__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
263,lamoreauxlab@srpenergy-api-client-python__693bafd8__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
264,lamoreauxlab@srpenergy-api-client-python__693bafd8__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
265,lipoja@urlextract__3dec042b__filelock__portalocker,"Agentic-RepoFlow full iterative, 5-cycle",,,,
266,lmcinnes@glasbey__37cd1125__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
267,lmcinnes@glasbey__37cd1125__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
268,lmcinnes@glasbey__37cd1125__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
269,lukasschwab@arxiv.py__a1180d0e__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
270,malmgrek@gammy__0b347ec9__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
271,malmgrek@gammy__0b347ec9__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
272,malmgrek@gammy__0b347ec9__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
273,martin-majlis@wikipedia-api__a58db566__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
274,martin-majlis@wikipedia-api__a58db566__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
275,martin-majlis@wikipedia-api__a58db566__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
276,martin-majlis@wikipedia-api__a58db566__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
277,martin-majlis@wikipedia-api__a58db566__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
278,martin-majlis@wikipedia-api__a58db566__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
279,medialab@casanova__38b9a281__urllib3__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
280,medialab@casanova__38b9a281__urllib3__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
281,medialab@casanova__38b9a281__urllib3__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
282,microsoft@knack__b1164b57__pygments__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
283,microsoft@knack__b1164b57__tabulate__prettytable,"Agentic-RepoFlow full iterative, 5-cycle",,,,
284,microsoft@knack__b1164b57__tabulate__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
285,miguelgrinberg@microblog-api__e250d711__click__plac,"Agentic-RepoFlow full iterative, 5-cycle",,,,
286,miguelgrinberg@microblog-api__e250d711__click__typer,"Agentic-RepoFlow full iterative, 5-cycle",,,,
287,miguelgrinberg@microblog-api__e250d711__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
288,miguelgrinberg@microblog-api__e250d711__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
289,miguelgrinberg@microblog-api__e250d711__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
290,miguelgrinberg@microblog-api__e250d711__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
291,miguelgrinberg@microblog-api__e250d711__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
292,miguelgrinberg@microblog-api__e250d711__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
293,natcap@taskgraph__3f256c6a__importlib-metadata__setuptools,"Agentic-RepoFlow full iterative, 5-cycle",,,,
294,octodns@octodns-ddns__d152390d__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
295,omadson@fuzzy-c-means__c1195969__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
296,omadson@fuzzy-c-means__c1195969__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
297,ornl@tx2__ce713605__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
298,ornl@tx2__ce713605__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
299,ornl@tx2__ce713605__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
300,osmlab@maproulette-python-client__a610f25a__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
301,osmlab@maproulette-python-client__a610f25a__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
302,osmlab@maproulette-python-client__a610f25a__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
303,osmlab@maproulette-python-client__a610f25a__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
304,osmlab@maproulette-python-client__a610f25a__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
305,ozgurkara@fastapi-pydiator__7d70a90a__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
306,ozgurkara@fastapi-pydiator__7d70a90a__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
307,pagerduty@pdpyras__a4b14c5c__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
308,pagerduty@pdpyras__a4b14c5c__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
309,pagerduty@pdpyras__a4b14c5c__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
310,pagerduty@pdpyras__a4b14c5c__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
311,pittcsc@pittapi__275fb928__beautifulsoup4__pyquery,"Agentic-RepoFlow full iterative, 5-cycle",,,,
312,pittcsc@pittapi__275fb928__urllib3__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
313,pittcsc@pittapi__275fb928__urllib3__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
314,pittcsc@pittapi__275fb928__urllib3__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
315,pymike00@tinychat__cade1f91__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
316,pymike00@tinychat__cade1f91__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
317,pymike00@tinychat__cade1f91__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
318,pymike00@tinychat__cade1f91__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
319,pymike00@tinychat__cade1f91__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
320,python-cas@python-cas__5697dcc5__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
321,python-cas@python-cas__5697dcc5__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
322,python-cas@python-cas__5697dcc5__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
323,python-cas@python-cas__5697dcc5__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
324,python-cas@python-cas__5697dcc5__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
325,python-cas@python-cas__5697dcc5__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
326,raphaelauv@fastapi-aiohttp-example__99c2d449__aiohttp__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
327,raphaelm@python-fints__0dc1a801__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
328,raphaelm@python-fints__0dc1a801__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
329,raphaelm@python-fints__0dc1a801__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
330,raphaelm@python-fints__0dc1a801__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
331,raphaelm@python-fints__0dc1a801__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
332,raphaelm@python-fints__0dc1a801__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
333,resend@resend-python__b468d4d5__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
334,resend@resend-python__b468d4d5__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
335,resend@resend-python__b468d4d5__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
336,resend@resend-python__b468d4d5__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
337,resend@resend-python__b468d4d5__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
338,resend@resend-python__b468d4d5__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
339,rochacbruno@dundie-rewards__e35d6be5__httpx__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
340,rochacbruno@dundie-rewards__e35d6be5__httpx__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
341,rochacbruno@dundie-rewards__e35d6be5__httpx__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
342,sarartur@chess.com__fdd85340__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
343,sarartur@chess.com__fdd85340__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
344,sarartur@chess.com__fdd85340__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
345,sarartur@chess.com__fdd85340__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
346,securisec@chepy__15beb6d7__colorama__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
347,securisec@chepy__15beb6d7__colorama__termcolor,"Agentic-RepoFlow full iterative, 5-cycle",,,,
348,smartystreets@smartystreets-python-sdk__af56ea7f__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
349,smartystreets@smartystreets-python-sdk__af56ea7f__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
350,smartystreets@smartystreets-python-sdk__af56ea7f__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
351,smartystreets@smartystreets-python-sdk__af56ea7f__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
352,smartystreets@smartystreets-python-sdk__af56ea7f__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
353,spryngtime@openai-load-balancer__b46dfd82__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
354,spryngtime@openai-load-balancer__b46dfd82__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
355,stefanschinkel@gantt__28be0938__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
356,stefanschinkel@gantt__28be0938__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
357,stefanschinkel@gantt__28be0938__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
358,sudiptob2@cf-stats__ce93670b__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
359,sudiptob2@cf-stats__ce93670b__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
360,sudiptob2@cf-stats__ce93670b__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
361,sudiptob2@cf-stats__ce93670b__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
362,sudiptob2@cf-stats__ce93670b__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
363,sudiptob2@cf-stats__ce93670b__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
364,suresoft-glados@sbfl__056ecf1f__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
365,suresoft-glados@sbfl__056ecf1f__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
366,ungarj@tilematrix__275b4d79__click__typer,"Agentic-RepoFlow full iterative, 5-cycle",,,,
367,uploadcare@migro__31199fb3__aiohttp__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
368,usda-ars-ussl@fluxpart__248f0b59__attrs__cattrs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
369,xchwarze@samsung-tv-ws-api__243b6952__cryptography__pycryptodome,"Agentic-RepoFlow full iterative, 5-cycle",,,,
370,xchwarze@samsung-tv-ws-api__243b6952__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
371,xchwarze@samsung-tv-ws-api__243b6952__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
372,xchwarze@samsung-tv-ws-api__243b6952__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
373,xchwarze@samsung-tv-ws-api__243b6952__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
374,xchwarze@samsung-tv-ws-api__243b6952__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
375,xchwarze@samsung-tv-ws-api__243b6952__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
