case_id,repo_id,source_library,target_library,disposition,reason
david96182@ninjemail__2a52a8cc__requests__httpx,david96182@ninjemail__2a52a8cc,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__requests__pycurl,david96182@ninjemail__2a52a8cc,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__requests__requests_futures,david96182@ninjemail__2a52a8cc,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__requests__treq,david96182@ninjemail__2a52a8cc,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__requests__urllib3,david96182@ninjemail__2a52a8cc,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__toml__tomli,david96182@ninjemail__2a52a8cc,toml,tomli,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__toml__tomlkit,david96182@ninjemail__2a52a8cc,toml,tomlkit,retained_full_594,Included in the published full_594 evaluation set.
dell@python-powerflex__d590af9d__requests__aiohttp,dell@python-powerflex__d590af9d,requests,aiohttp,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
dell@python-powerflex__d590af9d__requests__httpx,dell@python-powerflex__d590af9d,requests,httpx,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
dell@python-powerflex__d590af9d__requests__pycurl,dell@python-powerflex__d590af9d,requests,pycurl,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
dell@python-powerflex__d590af9d__requests__requests_futures,dell@python-powerflex__d590af9d,requests,requests_futures,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
dell@python-powerflex__d590af9d__requests__treq,dell@python-powerflex__d590af9d,requests,treq,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
dell@python-powerflex__d590af9d__requests__urllib3,dell@python-powerflex__d590af9d,requests,urllib3,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
devexp-db@distgen__9512f356__jinja2__mako,devexp-db@distgen__9512f356,jinja2,mako,retained_full_594,Included in the published full_594 evaluation set.
digitaltrustcenter@sectxt__0f06db1f__requests__aiohttp,digitaltrustcenter@sectxt__0f06db1f,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
digitaltrustcenter@sectxt__0f06db1f__requests__pycurl,digitaltrustcenter@sectxt__0f06db1f,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
digitaltrustcenter@sectxt__0f06db1f__requests__treq,digitaltrustcenter@sectxt__0f06db1f,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
digitaltrustcenter@sectxt__0f06db1f__requests__urllib3,digitaltrustcenter@sectxt__0f06db1f,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
dknowles2@pyschlage__5c48dcd0__requests__aiohttp,dknowles2@pyschlage__5c48dcd0,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
dknowles2@pyschlage__5c48dcd0__requests__httpx,dknowles2@pyschlage__5c48dcd0,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
dknowles2@pyschlage__5c48dcd0__requests__pycurl,dknowles2@pyschlage__5c48dcd0,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
dknowles2@pyschlage__5c48dcd0__requests__requests_futures,dknowles2@pyschlage__5c48dcd0,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
dknowles2@pyschlage__5c48dcd0__requests__treq,dknowles2@pyschlage__5c48dcd0,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
dknowles2@pyschlage__5c48dcd0__requests__urllib3,dknowles2@pyschlage__5c48dcd0,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
dmtf@redfish-protocol-validator__e2f28669__colorama__rich,dmtf@redfish-protocol-validator__e2f28669,colorama,rich,retained_full_594,Included in the published full_594 evaluation set.
dmtf@redfish-protocol-validator__e2f28669__colorama__termcolor,dmtf@redfish-protocol-validator__e2f28669,colorama,termcolor,retained_full_594,Included in the published full_594 evaluation set.
duo-labs@py_webauthn__42537f58__cryptography__pycryptodome,duo-labs@py_webauthn__42537f58,cryptography,pycryptodome,retained_full_594,Included in the published full_594 evaluation set.
dwave-examples@3d-bin-packing__abb0ebd3__tabulate__prettytable,dwave-examples@3d-bin-packing__abb0ebd3,tabulate,prettytable,retained_full_594,Included in the published full_594 evaluation set.
dwave-examples@3d-bin-packing__abb0ebd3__tabulate__rich,dwave-examples@3d-bin-packing__abb0ebd3,tabulate,rich,retained_full_594,Included in the published full_594 evaluation set.
electronic-mango@simple-justwatch-python-api__5524c491__httpx__aiohttp,electronic-mango@simple-justwatch-python-api__5524c491,httpx,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
electronic-mango@simple-justwatch-python-api__5524c491__httpx__requests,electronic-mango@simple-justwatch-python-api__5524c491,httpx,requests,retained_full_594,Included in the published full_594 evaluation set.
electronic-mango@simple-justwatch-python-api__5524c491__httpx__urllib3,electronic-mango@simple-justwatch-python-api__5524c491,httpx,urllib3,retained_full_594,Included in the published full_594 evaluation set.
eschava@psmqtt__c137c460__jinja2__mako,eschava@psmqtt__c137c460,jinja2,mako,retained_full_594,Included in the published full_594 evaluation set.
esds-leipzig@sen2nbar__1ecded1e__requests__aiohttp,esds-leipzig@sen2nbar__1ecded1e,requests,aiohttp,baseline_reproducibility,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
esds-leipzig@sen2nbar__1ecded1e__requests__httpx,esds-leipzig@sen2nbar__1ecded1e,requests,httpx,baseline_reproducibility,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
esds-leipzig@sen2nbar__1ecded1e__requests__pycurl,esds-leipzig@sen2nbar__1ecded1e,requests,pycurl,baseline_reproducibility,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
esds-leipzig@sen2nbar__1ecded1e__requests__requests_futures,esds-leipzig@sen2nbar__1ecded1e,requests,requests_futures,baseline_reproducibility,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
esds-leipzig@sen2nbar__1ecded1e__requests__treq,esds-leipzig@sen2nbar__1ecded1e,requests,treq,baseline_reproducibility,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
esds-leipzig@sen2nbar__1ecded1e__requests__urllib3,esds-leipzig@sen2nbar__1ecded1e,requests,urllib3,baseline_reproducibility,The baseline tests depend on current STAC/Sentinel metadata whose CRS/projection fields no longer match the test assumptions.
eth-cscs@stackinator__1255be83__jsonschema__cerberus,eth-cscs@stackinator__1255be83,jsonschema,cerberus,retained_full_594,Included in the published full_594 evaluation set.
evanp@ap__90969daf__tabulate__prettytable,evanp@ap__90969daf,tabulate,prettytable,retained_full_594,Included in the published full_594 evaluation set.
evanp@ap__90969daf__tabulate__rich,evanp@ap__90969daf,tabulate,rich,retained_full_594,Included in the published full_594 evaluation set.
eyeseast@python-frontmatter__025a94c2__toml__tomli,eyeseast@python-frontmatter__025a94c2,toml,tomli,retained_full_594,Included in the published full_594 evaluation set.
eyeseast@python-frontmatter__025a94c2__toml__tomlkit,eyeseast@python-frontmatter__025a94c2,toml,tomlkit,retained_full_594,Included in the published full_594 evaluation set.
fidelity@selective__7e07abc8__seaborn__altair,fidelity@selective__7e07abc8,seaborn,altair,retained_full_594,Included in the published full_594 evaluation set.
fidelity@selective__7e07abc8__seaborn__plotly,fidelity@selective__7e07abc8,seaborn,plotly,retained_full_594,Included in the published full_594 evaluation set.
filestack@filestack-python__0e44e337__requests__aiohttp,filestack@filestack-python__0e44e337,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
filestack@filestack-python__0e44e337__requests__httpx,filestack@filestack-python__0e44e337,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
filestack@filestack-python__0e44e337__requests__pycurl,filestack@filestack-python__0e44e337,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
filestack@filestack-python__0e44e337__requests__requests_futures,filestack@filestack-python__0e44e337,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
filestack@filestack-python__0e44e337__requests__treq,filestack@filestack-python__0e44e337,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
filestack@filestack-python__0e44e337__requests__urllib3,filestack@filestack-python__0e44e337,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
france-travail@words_n_fun__3bf4b159__tqdm__alive-progress,france-travail@words_n_fun__3bf4b159,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
france-travail@words_n_fun__3bf4b159__tqdm__progressbar2,france-travail@words_n_fun__3bf4b159,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
ful1e5@clickgen__ce70d07a__attrs__cattrs,ful1e5@clickgen__ce70d07a,attrs,cattrs,retained_full_594,Included in the published full_594 evaluation set.
ful1e5@clickgen__ce70d07a__toml__tomli,ful1e5@clickgen__ce70d07a,toml,tomli,retained_full_594,Included in the published full_594 evaluation set.
ful1e5@clickgen__ce70d07a__toml__tomlkit,ful1e5@clickgen__ce70d07a,toml,tomlkit,retained_full_594,Included in the published full_594 evaluation set.
funilrys@pyfunceble__a2756c4f__python-dotenv__dynaconf,funilrys@pyfunceble__a2756c4f,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
funilrys@pyfunceble__a2756c4f__python-dotenv__environs,funilrys@pyfunceble__a2756c4f,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
georg-un@kneebow__e48f3aac__matplotlib__altair,georg-un@kneebow__e48f3aac,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
georg-un@kneebow__e48f3aac__matplotlib__plotly,georg-un@kneebow__e48f3aac,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
georg-un@kneebow__e48f3aac__matplotlib__seaborn,georg-un@kneebow__e48f3aac,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__requests__aiohttp,getpatchwork@git-pw__02c38bef,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__requests__httpx,getpatchwork@git-pw__02c38bef,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__requests__pycurl,getpatchwork@git-pw__02c38bef,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__requests__requests_futures,getpatchwork@git-pw__02c38bef,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__requests__treq,getpatchwork@git-pw__02c38bef,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__requests__urllib3,getpatchwork@git-pw__02c38bef,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__tabulate__prettytable,getpatchwork@git-pw__02c38bef,tabulate,prettytable,retained_full_594,Included in the published full_594 evaluation set.
getpatchwork@git-pw__02c38bef__tabulate__rich,getpatchwork@git-pw__02c38bef,tabulate,rich,retained_full_594,Included in the published full_594 evaluation set.
gillesvink@nukedockerbuild__69afa626__requests__aiohttp,gillesvink@nukedockerbuild__69afa626,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
gillesvink@nukedockerbuild__69afa626__requests__httpx,gillesvink@nukedockerbuild__69afa626,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
gillesvink@nukedockerbuild__69afa626__requests__pycurl,gillesvink@nukedockerbuild__69afa626,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
gillesvink@nukedockerbuild__69afa626__requests__requests_futures,gillesvink@nukedockerbuild__69afa626,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
gillesvink@nukedockerbuild__69afa626__requests__treq,gillesvink@nukedockerbuild__69afa626,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
gillesvink@nukedockerbuild__69afa626__requests__urllib3,gillesvink@nukedockerbuild__69afa626,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__beautifulsoup4__pyquery,git-shogg@finsec__e64e34a9,beautifulsoup4,pyquery,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__requests__aiohttp,git-shogg@finsec__e64e34a9,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__requests__httpx,git-shogg@finsec__e64e34a9,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__requests__pycurl,git-shogg@finsec__e64e34a9,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__requests__requests_futures,git-shogg@finsec__e64e34a9,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__requests__treq,git-shogg@finsec__e64e34a9,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
git-shogg@finsec__e64e34a9__requests__urllib3,git-shogg@finsec__e64e34a9,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
github@automatic-contrib-prs__3c357a2e__python-dotenv__dynaconf,github@automatic-contrib-prs__3c357a2e,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
github@automatic-contrib-prs__3c357a2e__python-dotenv__environs,github@automatic-contrib-prs__3c357a2e,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
github@cleanowners__ab30fba5__python-dotenv__dynaconf,github@cleanowners__ab30fba5,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
github@cleanowners__ab30fba5__python-dotenv__environs,github@cleanowners__ab30fba5,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
github@contributors__107543a7__python-dotenv__dynaconf,github@contributors__107543a7,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
github@contributors__107543a7__python-dotenv__environs,github@contributors__107543a7,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
github@evergreen__3189dd33__python-dotenv__dynaconf,github@evergreen__3189dd33,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
github@evergreen__3189dd33__python-dotenv__environs,github@evergreen__3189dd33,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
github@issue-metrics__44877577__python-dotenv__dynaconf,github@issue-metrics__44877577,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
github@issue-metrics__44877577__python-dotenv__environs,github@issue-metrics__44877577,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
github@stale-repos__0e3c3084__python-dotenv__dynaconf,github@stale-repos__0e3c3084,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
github@stale-repos__0e3c3084__python-dotenv__environs,github@stale-repos__0e3c3084,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__matplotlib__altair,giuliorossetti@ash__1106b609,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__matplotlib__plotly,giuliorossetti@ash__1106b609,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__matplotlib__seaborn,giuliorossetti@ash__1106b609,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__seaborn__altair,giuliorossetti@ash__1106b609,seaborn,altair,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__seaborn__plotly,giuliorossetti@ash__1106b609,seaborn,plotly,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__tqdm__alive-progress,giuliorossetti@ash__1106b609,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@ash__1106b609__tqdm__progressbar2,giuliorossetti@ash__1106b609,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
giuliorossetti@cdlib__c7e09398__seaborn__plotly,giuliorossetti@cdlib__c7e09398,seaborn,plotly,retained_full_594,Included in the published full_594 evaluation set.
glassonion1@anonypy__2a172285__matplotlib__altair,glassonion1@anonypy__2a172285,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
glassonion1@anonypy__2a172285__matplotlib__plotly,glassonion1@anonypy__2a172285,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
glassonion1@anonypy__2a172285__matplotlib__seaborn,glassonion1@anonypy__2a172285,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
google@github_nonpublic_api__895a9075__requests__aiohttp,google@github_nonpublic_api__895a9075,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
google@github_nonpublic_api__895a9075__requests__httpx,google@github_nonpublic_api__895a9075,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
google@github_nonpublic_api__895a9075__requests__pycurl,google@github_nonpublic_api__895a9075,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
google@github_nonpublic_api__895a9075__requests__requests_futures,google@github_nonpublic_api__895a9075,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
google@github_nonpublic_api__895a9075__requests__treq,google@github_nonpublic_api__895a9075,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
google@github_nonpublic_api__895a9075__requests__urllib3,google@github_nonpublic_api__895a9075,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
goranvrbaski@python-namesilo__4c867e65__requests__aiohttp,goranvrbaski@python-namesilo__4c867e65,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
goranvrbaski@python-namesilo__4c867e65__requests__httpx,goranvrbaski@python-namesilo__4c867e65,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
goranvrbaski@python-namesilo__4c867e65__requests__pycurl,goranvrbaski@python-namesilo__4c867e65,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
goranvrbaski@python-namesilo__4c867e65__requests__requests_futures,goranvrbaski@python-namesilo__4c867e65,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
goranvrbaski@python-namesilo__4c867e65__requests__treq,goranvrbaski@python-namesilo__4c867e65,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
goranvrbaski@python-namesilo__4c867e65__requests__urllib3,goranvrbaski@python-namesilo__4c867e65,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
green-api@whatsapp-api-client-python__82b8d509__requests__aiohttp,green-api@whatsapp-api-client-python__82b8d509,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
green-api@whatsapp-api-client-python__82b8d509__requests__httpx,green-api@whatsapp-api-client-python__82b8d509,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
green-api@whatsapp-api-client-python__82b8d509__requests__pycurl,green-api@whatsapp-api-client-python__82b8d509,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
green-api@whatsapp-api-client-python__82b8d509__requests__requests_futures,green-api@whatsapp-api-client-python__82b8d509,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
green-api@whatsapp-api-client-python__82b8d509__requests__treq,green-api@whatsapp-api-client-python__82b8d509,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
green-api@whatsapp-api-client-python__82b8d509__requests__urllib3,green-api@whatsapp-api-client-python__82b8d509,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
gregretkowski@llmsec__fb775c9a__jinja2__mako,gregretkowski@llmsec__fb775c9a,jinja2,mako,retained_full_594,Included in the published full_594 evaluation set.
growthbook@growthbook-python__699fba51__aiohttp__httpx,growthbook@growthbook-python__699fba51,aiohttp,httpx,retained_full_594,Included in the published full_594 evaluation set.
growthbook@growthbook-python__699fba51__cryptography__pycryptodome,growthbook@growthbook-python__699fba51,cryptography,pycryptodome,retained_full_594,Included in the published full_594 evaluation set.
growthbook@growthbook-python__699fba51__urllib3__aiohttp,growthbook@growthbook-python__699fba51,urllib3,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
growthbook@growthbook-python__699fba51__urllib3__httpx,growthbook@growthbook-python__699fba51,urllib3,httpx,retained_full_594,Included in the published full_594 evaluation set.
growthbook@growthbook-python__699fba51__urllib3__requests,growthbook@growthbook-python__699fba51,urllib3,requests,retained_full_594,Included in the published full_594 evaluation set.
gugarosa@learnergy__870d8a6b__matplotlib__altair,gugarosa@learnergy__870d8a6b,matplotlib,altair,baseline_reproducibility,"The baseline test suite did not finish within the reproduction timeout, so no stable pass count was available."
gugarosa@learnergy__870d8a6b__matplotlib__plotly,gugarosa@learnergy__870d8a6b,matplotlib,plotly,baseline_reproducibility,"The baseline test suite did not finish within the reproduction timeout, so no stable pass count was available."
gugarosa@learnergy__870d8a6b__matplotlib__seaborn,gugarosa@learnergy__870d8a6b,matplotlib,seaborn,baseline_reproducibility,"The baseline test suite did not finish within the reproduction timeout, so no stable pass count was available."
gugarosa@opytimizer__e050d12f__matplotlib__altair,gugarosa@opytimizer__e050d12f,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
gugarosa@opytimizer__e050d12f__matplotlib__plotly,gugarosa@opytimizer__e050d12f,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
gugarosa@opytimizer__e050d12f__matplotlib__seaborn,gugarosa@opytimizer__e050d12f,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
gugarosa@opytimizer__e050d12f__tqdm__alive-progress,gugarosa@opytimizer__e050d12f,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
gugarosa@opytimizer__e050d12f__tqdm__progressbar2,gugarosa@opytimizer__e050d12f,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
haidra-org@ai-horde-styles__1221207a__requests__aiohttp,haidra-org@ai-horde-styles__1221207a,requests,aiohttp,baseline_reproducibility,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
haidra-org@ai-horde-styles__1221207a__requests__httpx,haidra-org@ai-horde-styles__1221207a,requests,httpx,baseline_reproducibility,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
haidra-org@ai-horde-styles__1221207a__requests__pycurl,haidra-org@ai-horde-styles__1221207a,requests,pycurl,baseline_reproducibility,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
haidra-org@ai-horde-styles__1221207a__requests__requests_futures,haidra-org@ai-horde-styles__1221207a,requests,requests_futures,baseline_reproducibility,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
haidra-org@ai-horde-styles__1221207a__requests__treq,haidra-org@ai-horde-styles__1221207a,requests,treq,baseline_reproducibility,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
haidra-org@ai-horde-styles__1221207a__requests__urllib3,haidra-org@ai-horde-styles__1221207a,requests,urllib3,baseline_reproducibility,The tests rely on a model/style reference catalog that drifted from the expected baseline contents.
heavenshell@py-doq__75acafb9__jinja2__mako,heavenshell@py-doq__75acafb9,jinja2,mako,retained_full_594,Included in the published full_594 evaluation set.
heavenshell@py-doq__75acafb9__toml__tomli,heavenshell@py-doq__75acafb9,toml,tomli,retained_full_594,Included in the published full_594 evaluation set.
heavenshell@py-doq__75acafb9__toml__tomlkit,heavenshell@py-doq__75acafb9,toml,tomlkit,retained_full_594,Included in the published full_594 evaluation set.
hh-h@aiohttp-swagger3__311f0dc9__attrs__cattrs,hh-h@aiohttp-swagger3__311f0dc9,attrs,cattrs,retained_full_594,Included in the published full_594 evaluation set.
hwonyo@naver_talk_sdk__bf64ca59__requests__aiohttp,hwonyo@naver_talk_sdk__bf64ca59,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
hwonyo@naver_talk_sdk__bf64ca59__requests__httpx,hwonyo@naver_talk_sdk__bf64ca59,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
hwonyo@naver_talk_sdk__bf64ca59__requests__pycurl,hwonyo@naver_talk_sdk__bf64ca59,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
hwonyo@naver_talk_sdk__bf64ca59__requests__requests_futures,hwonyo@naver_talk_sdk__bf64ca59,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
hwonyo@naver_talk_sdk__bf64ca59__requests__treq,hwonyo@naver_talk_sdk__bf64ca59,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
hwonyo@naver_talk_sdk__bf64ca59__requests__urllib3,hwonyo@naver_talk_sdk__bf64ca59,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__requests__aiohttp,hxlstandard@libhxl-python__5d18d9f3,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__requests__httpx,hxlstandard@libhxl-python__5d18d9f3,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__requests__pycurl,hxlstandard@libhxl-python__5d18d9f3,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__requests__requests_futures,hxlstandard@libhxl-python__5d18d9f3,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__requests__treq,hxlstandard@libhxl-python__5d18d9f3,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__requests__urllib3,hxlstandard@libhxl-python__5d18d9f3,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__urllib3__aiohttp,hxlstandard@libhxl-python__5d18d9f3,urllib3,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__urllib3__httpx,hxlstandard@libhxl-python__5d18d9f3,urllib3,httpx,retained_full_594,Included in the published full_594 evaluation set.
hxlstandard@libhxl-python__5d18d9f3__urllib3__requests,hxlstandard@libhxl-python__5d18d9f3,urllib3,requests,retained_full_594,Included in the published full_594 evaluation set.
icane@pyaxis__5217b0e8__requests__aiohttp,icane@pyaxis__5217b0e8,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
icane@pyaxis__5217b0e8__requests__httpx,icane@pyaxis__5217b0e8,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
icane@pyaxis__5217b0e8__requests__pycurl,icane@pyaxis__5217b0e8,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
icane@pyaxis__5217b0e8__requests__requests_futures,icane@pyaxis__5217b0e8,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
icane@pyaxis__5217b0e8__requests__treq,icane@pyaxis__5217b0e8,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
icane@pyaxis__5217b0e8__requests__urllib3,icane@pyaxis__5217b0e8,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
icon-project@icon-sdk-python__50c75a50__requests__aiohttp,icon-project@icon-sdk-python__50c75a50,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
icon-project@icon-sdk-python__50c75a50__requests__httpx,icon-project@icon-sdk-python__50c75a50,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
icon-project@icon-sdk-python__50c75a50__requests__pycurl,icon-project@icon-sdk-python__50c75a50,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
icon-project@icon-sdk-python__50c75a50__requests__requests_futures,icon-project@icon-sdk-python__50c75a50,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
